"groups","f_year","year","abund_ranks","segment_mean","reserve","reserve_without_nj"
"[0,10)","2006",2006,"[0,0.05)",0,"N","N"
"[10,20)","2006",2006,"[0,0.05)",0,"N","N"
"[20,30)","2006",2006,"[0,0.05)",0,"N","N"
"[30,40)","2006",2006,"[0,0.05)",0,"N","N"
"[40,50)","2006",2006,"[0,0.05)",0,"N","N"
"[50,60)","2006",2006,"[0,0.05)",0,"N","N"
"[60,70)","2006",2006,"[0,0.05)",0,"N","N"
"[70,80)","2006",2006,"[0,0.05)",0,"N","N"
"[80,90)","2006",2006,"[0,0.05)",0,"N","N"
"[90,100)","2006",2006,"[0,0.05)",0,"N","N"
"[100,110)","2006",2006,"[0,0.05)",0,"N","N"
"[110,120)","2006",2006,"[0,0.05)",0,"N","N"
"[120,130)","2006",2006,"[0,0.05)",0,"N","N"
"[130,140)","2006",2006,"[0,0.05)",0.01,"N","N"
"[140,150)","2006",2006,"[0,0.05)",0.0345,"N","N"
"[150,160)","2006",2006,"[0,0.05)",0.0395,"N","N"
"[160,170)","2006",2006,"[0.05,0.1)",0.0615,"N","N"
"[170,180)","2006",2006,"[0.1,0.2)",0.1265,"N","N"
"[180,190)","2006",2006,"[0.1,0.2)",0.145,"N","N"
"[190,200)","2006",2006,"[0.1,0.2)",0.1275,"N","N"
"[200,210)","2006",2006,"[0.1,0.2)",0.1255,"N","N"
"[210,220)","2006",2006,"[0.1,0.2)",0.1035,"Y","Y"
"[220,230)","2006",2006,"[0,0.05)",0.0385,"Y","Y"
"[230,240)","2006",2006,"[0,0.05)",0.01,"Y","Y"
"[240,250)","2006",2006,"[0,0.05)",0.003,"Y","Y"
"[250,260)","2006",2006,"[0,0.05)",0,"Y","Y"
"[260,270)","2006",2006,"[0,0.05)",0,"Y","Y"
"[270,280)","2006",2006,"[0,0.05)",0,"Y","Y"
"[280,290)","2006",2006,"[0,0.05)",0,"Y","Y"
"[290,300)","2006",2006,"[0,0.05)",0,"Y","Y"
"[300,310)","2006",2006,"[0,0.05)",0,"N","N"
"[310,320)","2006",2006,"[0,0.05)",0,"N","N"
"[320,330)","2006",2006,"[0,0.05)",0,"N","N"
"[330,340)","2006",2006,"[0,0.05)",0,"N","N"
"[340,350)","2006",2006,"[0,0.05)",0.0155,"N","N"
"[350,360)","2006",2006,"[0,0.05)",0.03,"N","N"
"[360,370)","2006",2006,"[0,0.05)",0.03,"N","N"
"[370,380)","2006",2006,"[0,0.05)",0.034,"N","N"
"[380,390)","2006",2006,"[0,0.05)",0.04,"N","N"
"[390,400)","2006",2006,"[0,0.05)",0.03,"N","N"
"[400,410)","2006",2006,"[0,0.05)",0.045,"Y","Y"
"[410,420)","2006",2006,"[0,0.05)",0.045,"Y","Y"
"[420,430)","2006",2006,"[0,0.05)",0.041,"Y","Y"
"[430,440)","2006",2006,"[0.1,0.2)",0.105,"Y","Y"
