DistMark,year,f_year,size,mov_aver,reserve,reserve_name,reserve_without_nj
0,2006,2006,0,0,N,non-PAs,N
1,2006,2006,0,0,N,non-PAs,N
2,2006,2006,0,0,N,non-PAs,N
3,2006,2006,0,0,N,non-PAs,N
4,2006,2006,0,0,N,non-PAs,N
5,2006,2006,0,0,N,non-PAs,N
6,2006,2006,0,0,N,non-PAs,N
7,2006,2006,0,0,N,non-PAs,N
8,2006,2006,0,0,N,non-PAs,N
9,2006,2006,0,0,N,non-PAs,N
10,2006,2006,0,0,N,non-PAs,N
11,2006,2006,0,0,N,non-PAs,N
12,2006,2006,0,0,N,non-PAs,N
13,2006,2006,0,0,N,non-PAs,N
14,2006,2006,0,0,N,non-PAs,N
15,2006,2006,0,0,N,non-PAs,N
16,2006,2006,0,0,N,non-PAs,N
17,2006,2006,0,0,N,non-PAs,N
18,2006,2006,0,0,N,non-PAs,N
19,2006,2006,0,0,N,non-PAs,N
20,2006,2006,0,0,N,non-PAs,N
21,2006,2006,0,0,N,non-PAs,N
22,2006,2006,0,0,N,non-PAs,N
23,2006,2006,0,0,N,non-PAs,N
24,2006,2006,0,0,N,non-PAs,N
25,2006,2006,0,0,N,non-PAs,N
26,2006,2006,0,0,N,non-PAs,N
27,2006,2006,0,0,N,non-PAs,N
28,2006,2006,0,0,N,non-PAs,N
29,2006,2006,0,0,N,non-PAs,N
30,2006,2006,0,0,N,non-PAs,N
31,2006,2006,0,0,N,non-PAs,N
32,2006,2006,0,0,N,non-PAs,N
33,2006,2006,0,0,N,non-PAs,N
34,2006,2006,0,0,N,non-PAs,N
35,2006,2006,0,0,N,non-PAs,N
36,2006,2006,0,0,N,non-PAs,N
37,2006,2006,0,0,N,non-PAs,N
38,2006,2006,0,0,N,non-PAs,N
39,2006,2006,0,0,N,non-PAs,N
40,2006,2006,0,0,N,non-PAs,N
41,2006,2006,0,0,N,non-PAs,N
42,2006,2006,0,0,N,non-PAs,N
43,2006,2006,0,0,N,non-PAs,N
44,2006,2006,0,0,N,non-PAs,N
45,2006,2006,0,0,N,non-PAs,N
46,2006,2006,0,0,N,non-PAs,N
47,2006,2006,0,0,N,non-PAs,N
48,2006,2006,0,0,N,non-PAs,N
49,2006,2006,0,0,N,non-PAs,N
50,2006,2006,0,0,N,non-PAs,N
51,2006,2006,0,0,N,non-PAs,N
52,2006,2006,0,0,N,non-PAs,N
53,2006,2006,0,0,N,non-PAs,N
54,2006,2006,0,0,N,non-PAs,N
55,2006,2006,0,0,N,non-PAs,N
56,2006,2006,0,0,N,non-PAs,N
57,2006,2006,0,0,N,non-PAs,N
58,2006,2006,0,0,N,non-PAs,N
59,2006,2006,0,0,N,non-PAs,N
60,2006,2006,0,0,N,non-PAs,N
61,2006,2006,0,0,N,non-PAs,N
62,2006,2006,0,0,N,non-PAs,N
63,2006,2006,0,0,N,non-PAs,N
64,2006,2006,0,0,N,non-PAs,N
65,2006,2006,0,0,N,non-PAs,N
66,2006,2006,0,0,N,non-PAs,N
67,2006,2006,0,0,N,non-PAs,N
68,2006,2006,0,0,N,non-PAs,N
69,2006,2006,0,0,N,non-PAs,N
70,2006,2006,0,0,N,non-PAs,N
71,2006,2006,0,0,N,non-PAs,N
72,2006,2006,0,0,N,non-PAs,N
73,2006,2006,0,0,N,non-PAs,N
74,2006,2006,0,0,N,non-PAs,N
75,2006,2006,0,0,N,non-PAs,N
76,2006,2006,0,0,N,non-PAs,N
77,2006,2006,0,0,N,non-PAs,N
78,2006,2006,0,0,N,non-PAs,N
79,2006,2006,0,0,N,non-PAs,N
80,2006,2006,0,0,N,non-PAs,N
81,2006,2006,0,0,N,non-PAs,N
82,2006,2006,0,0,N,non-PAs,N
83,2006,2006,0,0,N,non-PAs,N
84,2006,2006,0,0,N,non-PAs,N
85,2006,2006,0,0,N,non-PAs,N
86,2006,2006,0,0,N,non-PAs,N
87,2006,2006,0,0,N,non-PAs,N
88,2006,2006,0,0,N,non-PAs,N
89,2006,2006,0,0,N,non-PAs,N
90,2006,2006,0,0,N,non-PAs,N
91,2006,2006,0,0,N,non-PAs,N
92,2006,2006,0,0,N,non-PAs,N
93,2006,2006,0,0,N,non-PAs,N
94,2006,2006,0,0,N,non-PAs,N
95,2006,2006,0,0,N,non-PAs,N
96,2006,2006,0,0,N,non-PAs,N
97,2006,2006,0,0,N,non-PAs,N
98,2006,2006,0,0,N,non-PAs,N
99,2006,2006,0,0,N,non-PAs,N
100,2006,2006,0,0,N,non-PAs,N
101,2006,2006,0,0,N,non-PAs,N
102,2006,2006,0,0,N,non-PAs,N
103,2006,2006,0,0,N,non-PAs,N
104,2006,2006,0,0,N,non-PAs,N
105,2006,2006,0,0,N,non-PAs,N
