"groups","p_value","p_cate","r_squared","slope"
"[0,10)",0.2,"0.2",0.133,0.014
"[10,20)",0.663,"0.663",0.016,-0.007
"[20,30)",0.267,"0.267",0.101,0.004
"[30,40)",0.317,"0.317",0.083,0.008
"[40,50)",0,"<0.01",0.758,-0.047
"[50,60)",0.004,"<0.01",0.518,-0.023
"[60,70)",0,"<0.01",0.889,-0.146
"[70,80)",0,"<0.01",0.86,-0.105
"[80,90)",0.152,"0.152",0.163,-0.031
"[90,100)",0.601,"0.601",0.028,0.004
"[100,110)",0.656,"0.656",0.017,-0.006
"[110,120)",0.004,"<0.01",0.513,-0.042
"[120,130)",0.333,"0.333",0.078,-0.014
"[130,140)",0.122,"0.122",0.188,0.039
"[140,150)",0.363,"0.363",0.069,-0.039
"[150,160)",0.105,"0.105",0.204,-0.078
"[160,170)",0.03,"<0.05",0.336,0.061
"[170,180)",0.843,"0.843",0.003,-0.009
"[180,190)",0.001,"<0.01",0.6,-0.065
"[190,200)",0.022,"<0.05",0.364,-0.032
"[200,210)",0.154,"0.154",0.162,0.056
"[210,220)",0.361,"0.361",0.07,0.03
"[220,230)",0.552,"0.552",0.03,-0.032
"[230,240)",0.023,"<0.05",0.363,-0.143
"[240,250)",0,"<0.01",0.655,-0.142
"[250,260)",0.101,"0.101",0.18,-0.064
"[260,270)",0.031,"<0.05",0.291,-0.04
"[270,280)",0.456,"0.456",0.04,-0.011
"[280,290)",0.003,"<0.01",0.489,-0.04
"[290,300)",0.174,"0.174",0.128,0.022
"[300,310)",0.365,"0.365",0.059,0.028
"[310,320)",0,"<0.01",0.817,-0.161
"[320,330)",0.099,"0.099",0.183,-0.013
"[330,340)",0.5,"0.5",0.033,-0.014
"[340,350)",0.265,"0.265",0.088,0.02
"[350,360)",0.003,"<0.01",0.481,0.028
"[360,370)",0.027,"<0.05",0.304,0.039
"[370,380)",0.089,"0.089",0.193,-0.068
"[380,390)",0.915,"0.915",0.001,0.004
"[390,400)",0.602,"0.602",0.02,0.029
"[400,410)",0.121,"0.121",0.163,0.051
"[410,420)",0.163,"0.163",0.134,0.059
"[420,430)",0.204,"0.204",0.113,-0.066
"[430,440)",0.399,"0.399",0.051,-0.036
"[440,450)",0.735,"0.735",0.008,0.012
"[450,460)",0.864,"0.864",0.002,-0.012
"[460,470)",0.163,"0.163",0.144,-0.027
"[470,480)",0.058,"0.058",0.233,-0.066
"[480,490)",0.196,"0.196",0.117,-0.038
"[490,500)",0.004,"<0.01",0.467,-0.164
"[500,510)",0.012,"<0.05",0.376,-0.07
"[510,520)",0.536,"0.536",0.028,-0.025
"[520,530)",0.693,"0.693",0.011,-0.019
"[530,540)",0.377,"0.377",0.056,-0.043
"[540,550)",0.041,"<0.05",0.266,-0.108
"[550,560)",0,"<0.01",0.616,-0.107
"[560,570)",0.517,"0.517",0.031,-0.018
"[570,580)",0.026,"<0.05",0.308,-0.049
"[580,590)",0.188,"0.188",0.129,-0.015
"[590,600)",0,"<0.01",0.619,-0.084
"[600,610)",0.008,"<0.01",0.434,-0.024
"[610,620)",0.204,"0.204",0.112,-0.091
"[620,630)",0.011,"<0.05",0.379,-0.16
"[630,640)",0.493,"0.493",0.034,-0.016
"[640,650)",0.007,"<0.01",0.42,-0.097
"[650,660)",0.93,"0.93",0.001,0.001
"[660,670)",0.001,"<0.01",0.587,0.237
"[670,680)",0.032,"<0.05",0.287,0.43
"[680,690)",0.269,"0.269",0.11,-0.009
"[690,700)",0.693,"0.693",0.011,-0.024
"[700,710)",0.9,"0.9",0.001,-0.004
"[710,720)",0.024,"<0.05",0.315,0.112
"[720,730)",0.122,"0.122",0.162,-0.076
"[730,740)",0.54,"0.54",0.027,-0.02
"[740,750)",0.694,"0.694",0.011,-0.013
"[750,760)",0.28,"0.28",0.083,-0.027
"[760,770)",0.013,"<0.05",0.363,0.098
"[770,780)",0.024,"<0.05",0.313,0.077
"[780,790)",0.902,"0.902",0.001,0.001
"[790,800)",0.48,"0.48",0.036,-0.024
"[800,810)",0.16,"0.16",0.146,0.011
"[810,820)",0.967,"0.967",0,-0.003
"[820,830)",0.35,"0.35",0.063,-0.108
"[830,840)",0.389,"0.389",0.054,-0.042
"[840,850)",0.338,"0.338",0.066,-0.031
"[850,860)",0.066,"0.066",0.221,0.052
"[860,870)",0.369,"0.369",0.058,0.046
"[870,880)",0.163,"0.163",0.134,-0.161
"[880,890)",0.873,"0.873",0.002,-0.004
"[890,900)",0.958,"0.958",0,-0.007
"[900,910)",0.913,"0.913",0.001,0.012
"[910,920)",0.778,"0.778",0.006,0.01
"[920,930)",0.677,"0.677",0.013,-0.04
"[930,940)",0.78,"0.78",0.006,0.018
"[940,950)",0.113,"0.113",0.169,-0.038
"[950,960)",0.803,"0.803",0.005,-0.015
"[960,970)",0.752,"0.752",0.007,0.025
"[970,980)",0.553,"0.553",0.026,-0.027
"[980,990)",0.255,"0.255",0.091,-0.086
"[990,1000)",0.605,"0.605",0.02,-0.054
"[1000,1010)",0.222,"0.222",0.112,-0.012
"[1010,1020)",0.074,"0.074",0.21,-0.172
"[1020,1030)",0.848,"0.848",0.003,0.01
"[1030,1040)",0.373,"0.373",0.057,-0.018
"[1040,1050)",0.024,"<0.05",0.315,-0.134
"[1050,1060)",0.285,"0.285",0.081,-0.039
"[1060,1070)",0.092,"0.092",0.189,-0.19
"[1070,1080)",0.03,"<0.05",0.296,-0.168
"[1080,1090)",0.102,"0.102",0.179,-0.026
"[1090,1100)",0,"<0.01",0.72,-0.183
"[1100,1110)",0.826,"0.826",0.004,-0.003
