groups,intl,increment,incre_perc,development_levels
"[0,10)",0.254740487,0.018451031,0.067538815,less-developed
"[10,20)",0.131403919,0.069913284,0.347279234,less-developed
"[20,30)",0.083420794,0.030181818,0.26567891,less-developed
"[30,40)",0.052953522,0.016659479,0.239315628,less-developed
"[40,50)",0.043994879,0.040338435,0.478321472,fast-developing
"[50,60)",0.014810475,0.026967393,0.64549471,fast-developing
"[60,70)",0.009012583,0.002600568,0.223932985,less-developed
"[70,80)",0.003671486,0.005058088,0.579419778,fast-developing
"[80,90)",0.029995695,0.032708251,0.521629867,fast-developing
"[90,100)",0.122980863,0.037839977,0.235292743,less-developed
"[100,110)",0.054733938,0.009890657,0.153047879,less-developed
"[110,120)",0.007841711,0.000181719,0.022648518,less-developed
"[120,130)",0.001611318,0.001965701,0.549536079,fast-developing
"[130,140)",0.01328039,0.022538929,0.629239463,fast-developing
"[140,150)",0.345705256,0.038021249,0.09908424,highly-developed
"[150,160)",0.370952126,0.05374892,0.12655707,highly-developed
"[160,170)",0.031174582,0.015446704,0.33132299,less-developed
"[170,180)",0.031523387,0.012333014,0.281213542,less-developed
"[180,190)",0.054912071,0.028102884,0.338527966,less-developed
"[190,200)",0.039642685,0.01639604,0.292584097,less-developed
"[200,210)",0.031584863,0.014781377,0.318796109,less-developed
"[210,220)",0.005637905,0.003758688,0.400005393,less-developed
"[220,230)",0.011973964,0.002804321,0.189759559,less-developed
"[230,240)",0.094437339,0.03773242,0.285484516,less-developed
"[240,250)",0.010862041,0.011879409,0.522368154,fast-developing
"[250,260)",0.001169577,0.001594991,0.576940505,fast-developing
"[260,270)",0.009516901,0.001903241,0.166656467,less-developed
"[270,280)",0.003759444,0.000596012,0.136842709,less-developed
"[280,290)",0,0,0,less-developed
"[290,300)",0.026800206,0.003520369,0.116104952,less-developed
"[300,310)",0.075952123,0.017668036,0.188720427,less-developed
"[310,320)",0,0,0,less-developed
"[320,330)",0.001425759,0,0,less-developed
"[330,340)",0.00744045,0,0,less-developed
"[340,350)",0.009974077,0.003990601,0.285763913,less-developed
"[350,360)",0.001393032,0.000398122,0.222271278,less-developed
"[360,370)",0.092043277,0.005719423,0.058503123,less-developed
"[370,380)",0.047817827,0.004814326,0.091471187,less-developed
"[380,390)",0.113863642,0.014243586,0.111184875,less-developed
"[390,400)",0.010135673,0.004023349,0.284154423,less-developed
"[400,410)",0.006328594,0.00143156,0.184475772,less-developed
"[410,420)",0.008209441,0.001341504,0.140457708,less-developed
"[420,430)",0.04441673,0.007012644,0.136354837,less-developed
"[430,440)",0.097836882,0.017144155,0.149104198,less-developed
"[440,450)",0.002778101,0.001111762,0.285810128,less-developed
"[450,460)",0.001547436,0,0,less-developed
"[460,470)",0.009420783,0,0,less-developed
