f_year,year,groups,seg_floodplain_area,seg_ndvi_5_7,f_group,seg_cropland_perc
2000,2000,"[0,10)",0.033076721,0.002544357,1,0.076922904
2000,2000,"[10,20)",0.159962798,0.009485824,2,0.059300189
2000,2000,"[20,30)",0.012122696,0.000772133,3,0.063693182
2000,2000,"[30,40)",0.061206109,0.006259834,4,0.102274667
2000,2000,"[40,50)",0.100114057,0,5,0
2000,2000,"[50,60)",0.04623757,0.000154725,6,0.003346305
2000,2000,"[60,70)",0.37219753,0,7,0
2000,2000,"[70,80)",0.183904575,0.005418317,8,0.029462652
2000,2000,"[80,90)",0.063965135,0,9,0
2000,2000,"[90,100)",0.000283948,0,10,0
2000,2000,"[100,110)",0.034952458,0.000695728,11,0.019904972
2000,2000,"[110,120)",0.085350388,0.00386885,12,0.045329031
2000,2000,"[120,130)",0.04309587,0.003482826,13,0.080815765
2000,2000,"[130,140)",0.000303111,0,14,0
2000,2000,"[140,150)",0.192464566,0.006037822,15,0.031371084
2000,2000,"[150,160)",0.099458084,0.008993017,16,0.090420169
2000,2000,"[160,170)",0.096701057,0.010144002,17,0.104900634
2000,2000,"[170,180)",0.311501346,0.042874269,18,0.137637509
2000,2000,"[180,190)",0.065842757,0.003569054,19,0.054205724
2000,2000,"[190,200)",0.030108412,0.00062083,20,0.020619829
2000,2000,"[200,210)",0.06481934,0.001522709,21,0.023491589
2000,2000,"[210,220)",0.208541382,0.014252776,22,0.068345073
2000,2000,"[220,230)",0.21792591,0.003888426,23,0.017842882
2000,2000,"[230,240)",0.467448043,0.022806898,24,0.048790231
2000,2000,"[240,250)",0.250604734,0.000389168,25,0.001552914
2000,2000,"[250,260)",0.229410264,0,26,0
2000,2000,"[260,270)",0.129010483,0.004594601,27,0.035614168
2000,2000,"[270,280)",0.098107836,0.001790686,28,0.018252224
2000,2000,"[280,290)",0.134104975,0.007631479,29,0.056906755
2000,2000,"[290,300)",0.090939074,0.000424456,30,0.004667481
2000,2000,"[300,310)",0.445976347,0.009150834,31,0.020518654
2000,2000,"[310,320)",0.245997043,0.001635987,32,0.006650432
2000,2000,"[320,330)",0.064259183,0.008033459,33,0.125016508
2000,2000,"[330,340)",0.044998679,0.002368533,34,0.052635601
2000,2000,"[340,350)",0.109937371,0.000598115,35,0.005440509
2000,2000,"[350,360)",0.047565401,0.003278379,36,0.068923606
2000,2000,"[360,370)",0.09983783,0.000781109,37,0.007823777
2000,2000,"[370,380)",0.269601657,0.062649907,38,0.232379533
2000,2000,"[380,390)",0.277547738,0.031089162,39,0.112013748
2000,2000,"[390,400)",0.310115738,0.002887559,40,0.009311229
2000,2000,"[400,410)",0.092847614,0.002730145,41,0.029404583
2000,2000,"[410,420)",0.146356387,0.00280625,42,0.019174084
2000,2000,"[420,430)",0.48720785,0.017970927,43,0.036885545
2000,2000,"[430,440)",0.035547006,0.003608767,44,0.101520995
2000,2000,"[440,450)",0.052307762,0.001478965,45,0.028274301
2000,2000,"[450,460)",0.618200386,0.000700283,46,0.001132776
2000,2000,"[460,470)",0.014098235,0.000233422,47,0.016556853
2000,2000,"[470,480)",0.169309372,0.001322613,48,0.00781181
2000,2000,"[480,490)",0.100645234,0.000828833,49,0.00823519
2000,2000,"[490,500)",0.213363768,0.019383164,50,0.090845622
2000,2000,"[500,510)",0.157731294,0.002945123,51,0.01867177
2000,2000,"[510,520)",0.194166719,0.001546804,52,0.007966369
2000,2000,"[520,530)",0.229966167,0.020816106,53,0.090518122
2000,2000,"[530,540)",0.160211061,0.003878015,54,0.024205666
2000,2000,"[540,550)",0.305615496,0.006436173,55,0.021059708
2000,2000,"[550,560)",0.226679285,0.004808563,56,0.021213068
2000,2000,"[560,570)",0.096353115,0.001321945,57,0.013719793
2000,2000,"[570,580)",0.141716797,0.003333892,58,0.02352503
2000,2000,"[580,590)",0.016889399,0.001007013,59,0.059623946
2000,2000,"[590,600)",0.134026259,0.000774303,60,0.005777249
2000,2000,"[600,610)",0.04810788,0.000386707,61,0.008038338
2000,2000,"[610,620)",0.387103271,0.012910277,62,0.033350989
2000,2000,"[620,630)",0.270784231,0.009970302,63,0.036820099
2000,2000,"[630,640)",0.052726528,0,64,0
2000,2000,"[640,650)",0.228162648,0.002012206,65,0.008819173
2000,2000,"[650,660)",0.083968842,0.024695538,66,0.294103586
2000,2000,"[660,670)",0.253221942,0.013389921,67,0.052878203
2000,2000,"[670,680)",0.400398206,0.033443433,68,0.083525432
2000,2000,"[690,700)",0.294363025,0.001550832,70,0.005268432
2000,2000,"[700,710)",0.018615916,0.000155178,71,0.008335781
2000,2000,"[710,720)",0.23576685,0.000853676,72,0.003620848
2000,2000,"[720,730)",0.078223603,0.001553026,73,0.01985367
2000,2000,"[730,740)",0.116213911,0.000233219,74,0.002006808
2000,2000,"[740,750)",0.1158368,0.000388812,75,0.003356553
2000,2000,"[750,760)",0.185538547,7.78E-05,76,0.000419387
