"f_year","groups","year","seg_urban_perc"
2001,"[0,10)",2001,0.2547404865
2001,"[10,20)",2001,0.1314039193
2001,"[20,30)",2001,0.0834207936
2001,"[30,40)",2001,0.0529535215
2001,"[40,50)",2001,0.0439948786
2001,"[50,60)",2001,0.0148104754
2001,"[60,70)",2001,0.0090125832
2001,"[70,80)",2001,0.003671486
2001,"[80,90)",2001,0.0299956945
2001,"[90,100)",2001,0.1229808634
2001,"[100,110)",2001,0.0547339384
2001,"[110,120)",2001,0.0078417114
2001,"[120,130)",2001,0.0016113176
2001,"[130,140)",2001,0.0132803901
2001,"[140,150)",2001,0.3457052558
2001,"[150,160)",2001,0.3709521262
2001,"[160,170)",2001,0.0311745822
2001,"[170,180)",2001,0.0315233873
2001,"[180,190)",2001,0.0549120713
2001,"[190,200)",2001,0.0396426849
2001,"[200,210)",2001,0.0315848627
2001,"[210,220)",2001,0.0056379047
2001,"[220,230)",2001,0.011973964
2001,"[230,240)",2001,0.0944373389
2001,"[240,250)",2001,0.0108620405
2001,"[250,260)",2001,0.0011695767
2001,"[260,270)",2001,0.0095169014
2001,"[270,280)",2001,0.0037594436
2001,"[280,290)",2001,0
2001,"[290,300)",2001,0.0268002061
2001,"[300,310)",2001,0.0759521226
2001,"[310,320)",2001,0
2001,"[320,330)",2001,0.0014257591
2001,"[330,340)",2001,0.00744045
2001,"[340,350)",2001,0.0099740769
2001,"[350,360)",2001,0.0013930323
2001,"[360,370)",2001,0.0920432766
2001,"[370,380)",2001,0.0478178273
2001,"[380,390)",2001,0.1138636424
2001,"[390,400)",2001,0.0101356732
2001,"[400,410)",2001,0.0063285936
2001,"[410,420)",2001,0.0082094409
2001,"[420,430)",2001,0.0444167302
2001,"[430,440)",2001,0.097836882
2001,"[440,450)",2001,0.0027781009
2001,"[450,460)",2001,0.0015474363
2001,"[460,470)",2001,0.0094207829
2001,"[470,480)",2001,0.0634740837
2001,"[480,490)",2001,0.0684712912
2001,"[490,500)",2001,0.0107234582
2001,"[500,510)",2001,0.0136958248
2001,"[510,520)",2001,0.0037605418
2001,"[520,530)",2001,0.0275458586
2001,"[530,540)",2001,0.0204160076
2001,"[540,550)",2001,0.000184039
2001,"[550,560)",2001,0.0009212772
2001,"[560,570)",2001,0.0565895914
2001,"[570,580)",2001,0.0748549989
2001,"[580,590)",2001,0.1531925001
2001,"[590,600)",2001,0.5962507911
2001,"[600,610)",2001,0.9532292974
2001,"[610,620)",2001,0.7689866502
2001,"[620,630)",2001,0.3947111041
2001,"[630,640)",2001,0.2205746514
2001,"[640,650)",2001,0.0933507192
2001,"[650,660)",2001,0.0892573064
2001,"[660,670)",2001,0.0148310483
2001,"[670,680)",2001,0.0337126803
2001,"[680,690)",2001,0.0661131104
2001,"[690,700)",2001,0.4394246131
2001,"[700,710)",2001,0.2561729504
2001,"[710,720)",2001,0.018255162
2001,"[720,730)",2001,0.0555237333
2001,"[730,740)",2001,0.2926875106
2001,"[740,750)",2001,0.1171904899
2001,"[750,760)",2001,0.0447596597
2001,"[760,770)",2001,0.0567036331
2001,"[770,780)",2001,0.0339342104
2001,"[780,790)",2001,0.0397015736
2001,"[790,800)",2001,0.0680191883
2001,"[800,810)",2001,0.155763401
2001,"[810,820)",2001,0.0727366907
2001,"[820,830)",2001,0.0146585094
2001,"[830,840)",2001,0.0030444356
2001,"[840,850)",2001,0.1143866048
2001,"[850,860)",2001,0.485805451
2001,"[860,870)",2001,0.2145992282
2001,"[870,880)",2001,0.024444586
2001,"[880,890)",2001,0.0631154155
2001,"[890,900)",2001,0.0129263774
2001,"[900,910)",2001,0.0257153722
2001,"[910,920)",2001,0.0431882317
2001,"[920,930)",2001,0.0138453145
2001,"[930,940)",2001,0.0056530404
2001,"[940,950)",2001,0.0109367947
2001,"[950,960)",2001,0.0044635265
2001,"[960,970)",2001,0.0160320412
2001,"[970,980)",2001,0.0092025905
2001,"[980,990)",2001,0
2001,"[990,1000)",2001,0.0023881148
2001,"[1000,1010)",2001,0.2101632158
2001,"[1010,1020)",2001,0.2364498236
2001,"[1020,1030)",2001,0.0343246734
2001,"[1030,1040)",2001,0.0003806914
2001,"[1040,1050)",2001,0.0449431256
2001,"[1050,1060)",2001,0.0056404986
2001,"[1060,1070)",2001,0.0675675601
2001,"[1070,1080)",2001,0.017787537
2001,"[1080,1090)",2001,0
2001,"[1090,1100)",2001,0.0210503805
2001,"[1100,1110)",2001,0.1422596269
2001,"[1110,1120)",2001,0.1836198207
2001,"[1120,1130)",2001,0.0058377985
2001,"[1130,1140)",2001,0
2001,"[1140,1150)",2001,0.000187843
2001,"[1150,1160)",2001,0.0352855305
2001,"[1160,1170)",2001,0.0200066459
2001,"[1170,1180)",2001,0.0064322074
2001,"[1180,1190)",2001,0.0192889744
2001,"[1190,1200)",2001,0.0534680067
2001,"[1200,1210)",2001,0.4052423376
2001,"[1210,1220)",2001,0.4830344482
2001,"[1220,1230)",2001,0.1865651438
2001,"[1230,1240)",2001,0.0343745153
2001,"[1240,1250)",2001,0.2400603448
2001,"[1250,1260)",2001,0.4404237949
2001,"[1260,1270)",2001,0.1897993927
2001,"[1270,1280)",2001,0.1107644267
2001,"[1280,1290)",2001,0.3352462874
2001,"[1290,1300)",2001,0.484765487
2001,"[1300,1310)",2001,0.7186078242
