size,DistMark,year
3,580,2006
1,498,2006
6,497,2006
3,424,2006
3,370,2006
3,189,2006
2,165,2006
2,160,2006
3,198,2006
2,401,2006
13,460,2006
1,509,2006
2,578,2006
2,579,2006
3,684,2006
4,693,2006
8,708,2006
1,726,2006
1,746,2006
1,748,2006
2,753,2006
2,755,2006
3,755,2006
1,756,2006
1,757,2006
3,760,2006
3,762,2006
1,770,2006
2,773,2006
1,774,2006
2,774,2006
2,775,2006
1,776,2006
4,789,2006
2,789,2006
1,790,2006
1,793,2006
4,806,2006
7,839,2006
4,871,2006
2,871,2006
3,877,2006
3,879,2006
4,880,2006
1,881,2006
2,881,2006
1,882,2006
1,882,2006
2,882,2006
2,883,2006
3,883,2006
1,883,2006
1,884,2006
2,891,2006
2,892,2006
1,893,2006
2,895,2006
1,897,2006
2,909,2006
2,917,2006
3,917,2006
1,918,2006
2,919,2006
1,920,2006
2,924,2006
1,927,2006
2,930,2006
1,943,2006
2,943,2006
2,960,2006
1,961,2006
1,962,2006
2,979,2006
2,994,2006
1,995,2006
1,996,2006
2,997,2006
2,1004,2006
1,1005,2006
7,1008,2006
1,1014,2006
5,1018,2006
3,1026,2006
1,1030,2006
2,1036,2006
1,1039,2006
1,1073,2006
7,1081,2006
1,1082,2006
1,1105,2006
2,1122,2006
1,1134,2006
1,1149,2006
2,1158,2006
1,1161,2006
1,1206,2006
2,1207,2006
4,1211,2006
1,1217,2006
1,1220,2006
1,1223,2006
3,1274,2006
2,1276,2006
1,1293,2006
1,1295,2006
1,1299,2006
6,1304,2006
2,1328,2006
2,1359,2006
1,1385,2006
3,1397,2006
1,1408,2006
1,1440,2006
2,1459,2006
2,1460,2006
1,1482,2006
3,1483,2006
2,1484,2006
2,1504,2006
1,1566,2006
2,1475,2006
2,1416,2006
1,1392,2006
3,1389,2006
2,1332,2006
8,1329,2006
1,1327,2006
1,1306,2006
6,1304,2006
8,1304,2006
3,1302,2006
4,1302,2006
1,1291,2006
2,1285,2006
1,1284,2006
1,1248,2006
2,1244,2006
2,1229,2006
3,1198,2006
2,1197,2006
1,1148,2006
3,1151,2006
1,1128,2006
2,1111,2006
1,1101,2006
2,1047,2006
2,1046,2006
3,1038,2006
1,1035,2006
1,1035,2006
1,1026,2006
2,1022,2006
2,1020,2006
2,1008,2006
1,1006,2006
3,1003,2006
1,999,2006
1,994,2006
2,987,2006
1,986,2006
2,983,2006
2,980,2006
1,978,2006
2,972,2006
3,971,2006
1,951,2006
2,930,2006
2,926,2006
3,919,2006
1,918,2006
5,915,2006
1,903,2006
1,903,2006
2,898,2006
1,892,2006
1,886,2006
1,885,2006
2,884,2006
1,883,2006
2,882,2006
2,880,2006
2,879,2006
1,876,2006
2,876,2006
1,875,2006
1,866,2006
2,863,2006
1,862,2006
1,846,2006
5,821,2006
1,817,2006
2,816,2006
2,815,2006
1,814,2006
5,800,2006
2,793,2006
3,791,2006
1,790,2006
1,784,2006
1,774,2006
3,771,2006
1,753,2006
1,753,2006
1,744,2006
2,743,2006
2,740,2006
1,737,2006
2,731,2006
1,729,2006
2,728,2006
1,714,2006
1,711,2006
1,707,2006
1,659,2006
2,654,2006
5,578,2006
1,533,2006
5,496,2006
4,423,2006
1,371,2006
2,369,2006
1,221,2006
5,190,2006
1,176,2006
1,166,2006
2,160,2006
12,199,2006
1,215,2006
15,460,2006
1,551,2006
5,578,2006
2,580,2006
2,593,2006
1,684,2006
3,695,2006
3,701,2006
1,717,2006
3,727,2006
2,728,2006
1,731,2006
1,732,2006
1,732,2006
1,735,2006
1,736,2006
1,738,2006
1,742,2006
1,746,2006
4,754,2006
2,756,2006
1,756,2006
2,757,2006
2,759,2006
6,760,2006
2,774,2006
2,775,2006
1,786,2006
1,788,2006
4,788,2006
2,792,2006
2,792,2006
5,805,2006
1,815,2006
2,821,2006
1,827,2006
1,845,2006
3,878,2006
5,879,2006
2,882,2006
1,882,2006
3,882,2006
1,884,2006
1,884,2006
1,888,2006
2,888,2006
1,891,2006
1,892,2006
1,895,2006
1,896,2006
1,897,2006
1,898,2006
1,900,2006
1,909,2006
1,910,2006
1,913,2006
1,915,2006
1,916,2006
2,917,2006
2,918,2006
2,921,2006
2,926,2006
2,953,2006
1,959,2006
1,963,2006
1,964,2006
1,978,2006
2,982,2006
2,993,2006
2,1004,2006
3,1008,2006
1,1014,2006
2,1016,2006
2,1018,2006
2,1024,2006
1,1026,2006
1,1035,2006
1,1049,2006
1,1056,2006
1,1079,2006
1,1080,2006
1,1080,2006
