areaSqKm,year,DistMark
0.003007887,2004,371
0.00296548,2004,78
0.033541346,2004,392
0.073540473,2004,464
0.053962136,2004,551
0.004098945,2004,567
0.003552381,2004,446
0.049864545,2004,160
0.073260908,2004,420
0.070149289,2004,466
0.023240127,2004,431
0.012542526,2004,419
0.002363424,2004,214
0.022061252,2004,462
0.038609641,2004,14
0.037972507,2004,155
0.036709706,2004,252
0.03484731,2004,172
0.016145374,2004,543
0.002802653,2004,336
0.000366869,2004,59
0.001340205,2004,84
0.02733874,2004,393
0.027233035,2004,300
0.016719028,2004,420
0.025733574,2004,228
0.021902626,2004,528
0.024984997,2004,372
0.024925157,2004,257
0.024948611,2004,431
0.024924902,2004,454
0.0247936,2004,155
0.289974022,2004,527
0.185654539,2004,144
0.074250824,2004,274
0.083033708,2004,140
0.0121734,2004,79
0.136419864,2004,40
6.70E-05,2004,454
6.79E-05,2004,380
0.022569878,2004,330
0.022504714,2004,156
0.021784407,2004,187
0.021752286,2004,522
0.003965001,2004,530
0.006672838,2004,36
0.019855535,2004,183
0.020978535,2004,552
0.020235963,2004,314
0.007070932,2004,132
0.100977585,2004,1040
0.146372874,2004,866
0.044714154,2004,721
0.025900774,2004,1057
0.023446899,2004,991
0.045927053,2004,720
0.085578558,2004,1065
0.019031645,2004,882
0.008824634,2004,904
0.037464802,2004,976
0.036916477,2004,814
0.020136992,2004,884
0.019907139,2004,876
0.000140002,2004,900
0.011334154,2004,875
0.02589908,2004,1072
0.025423199,2004,705
0.02506941,2004,722
0.033918009,2004,863
0.042903797,2004,1027
0.006550977,2004,617
0.006680419,2004,801
0.02264356,2004,978
0.004115599,2004,932
0.015656552,2004,708
0.016667486,2004,652
0.007905205,2004,732
0.002375149,2004,865
0.000723021,2004,818
0.018444036,2004,791
0.003765124,2004,706
0.010386719,2004,803
0.002918371,2004,706
0.015685851,2004,1029
0.00422567,2004,1036
0.025457681,2004,626
0.020098533,2004,715
0.004143453,2004,672
0.654838568,2004,1040
0.001627129,2004,875
0.025590723,2004,1076
7.94E-05,2004,918
0.004539657,2004,1005
0.023250528,2004,676
0.022671387,2004,867
0.02269343,2004,797
0.021418082,2004,959
0.021730504,2004,726
0.021800336,2004,1045
0.021060228,2004,975
0.01128627,2004,1111
0.049488793,2004,1262
0.036824747,2004,1120
0.002844909,2004,1402
0.067091689,2004,1585
0.049676662,2004,1166
0.048836464,2004,1197
0.046407812,2004,1235
0.042612934,2004,1530
0.041840336,2004,1494
0.040101297,2004,1267
0.000950529,2004,1131
0.035906903,2004,1135
0.026166269,2004,1541
0.034228435,2004,1585
0.033282888,2004,1495
0.004360014,2004,1115
0.025540973,2004,1238
0.025654286,2004,1562
0.021429697,2004,1463
0.024638274,2004,1373
0.023226235,2004,1236
0.009262917,2004,1238
0.022462536,2004,1129
0.01355317,2004,1386
0.021821047,2004,1111
0.007736126,2004,1144
0.021700492,2004,1193
0.029756466,2004,1124
0.079317573,2004,1169
0.089768428,2004,1535
0.112453106,2004,1116
0.089427045,2004,1115
0.006068912,2004,1143
0.06512495,2004,1575
0.003509576,2004,1577
0.050001415,2004,1238
0.034428285,2004,1117
0.080608157,2004,1537
0.002011872,2004,1315
0.001008823,2004,234
0.09366253,2004,372
0.008136711,2004,374
0.104464803,2004,373
0.053717455,2004,320
0.021621717,2004,82
0.167261771,2004,79
0.093087532,2004,196
0.060654624,2004,392
0.099230034,2004,393
0.088244493,2004,374
0.044719415,2004,532
0.07247997,2004,410
0.0906062,2004,263
0.041148944,2004,114
0.047143943,2004,115
0.051078211,2004,130
0.050242838,2004,116
0.056549668,2004,251
0.034281888,2004,408
0.022086551,2004,326
0.08661213,2004,44
0.031552103,2004,423
0.048423457,2004,550
0.091275112,2004,568
0.012530436,2004,15
0.082381545,2004,530
0.078357043,2004,266
0.011117177,2004,39
0.018605734,2004,273
0.064170118,2004,358
0.069832352,2004,523
0.054316142,2004,415
0.002057013,2004,375
0.077426441,2004,447
0.027451441,2004,399
0.017547743,2004,39
0.000756236,2004,160
0.02684646,2004,159
0.057709134,2004,553
0.013471517,2004,252
0.038235192,2004,386
0.033643462,2004,397
0.002269718,2004,395
0.028412593,2004,577
0.030287362,2004,533
0.00021427,2004,521
0.044683849,2004,503
0.007926249,2004,418
0.033630074,2004,432
0.000181767,2004,208
0.043414641,2004,28
0.003136325,2004,400
0.041198306,2004,420
0.023362245,2004,338
0.000504388,2004,447
0.002145179,2004,38
0.043524925,2004,213
0.013467648,2004,516
0.002541707,2004,500
0.020081773,2004,461
0.004004614,2004,195
0.000416612,2004,393
0.002622318,2004,300
0.001205741,2004,532
0.006049038,2004,133
0.007399083,2004,413
0.000955445,2004,341
0.004518883,2004,218
0.0269535,2004,482
0.004097196,2004,364
0.02233126,2004,316
0.014059539,2004,423
0.008301378,2004,534
0.016486267,2004,544
0.029161295,2004,335
0.0005879,2004,186
0.004308436,2004,576
0.028320514,2004,58
0.000344931,2004,385
0.021791496,2004,399
0.013413762,2004,574
0.014888948,2004,530
0.004695289,2004,51
0.001879418,2004,463
0.009607097,2004,17
0.009011296,2004,421
0.003174687,2004,441
0.003742339,2004,529
0.005155053,2004,173
0.594238227,2004,454
1.28E-05,2004,529
0.079461535,2004,146
0.375828139,2004,474
0.16889833,2004,384
0.302084445,2004,139
0.292423273,2004,275
0.112134348,2004,276
0.339766453,2004,141
0.032349463,2004,142
0.175627452,2004,426
0.274881716,2004,426
0.322946653,2004,80
0.054747584,2004,81
0.22068141,2004,39
0.168955037,2004,207
0.201568889,2004,147
0.163841874,2004,343
0.022803676,2004,459
0.061194234,2004,454
1.542571615,2004,457
1.664139134,2004,456
0.015149091,2004,381
1.27E-05,2004,379
0.007395266,2004,380
0.226070399,2004,381
0.106393547,2004,385
0.112829226,2004,386
3.36E-06,2004,388
0.118469934,2004,387
0.094211813,2004,388
0.094851972,2004,389
0.08898649,2004,390
0.035976607,2004,391
0.002879549,2004,484
0.008443223,2004,545
0.003021704,2004,2
0.000122267,2004,406
0.002105456,2004,175
0.017820923,2004,531
0.000530244,2004,151
0.014990665,2004,35
0.002934953,2004,233
0.001343926,2004,438
0.000186883,2004,199
0.000948804,2004,184
0.004983452,2004,27
0.002137773,2004,391
0.013023072,2004,131
0.001498172,2004,113
0.000438201,2004,16
0.081655985,2004,1065
0.45234136,2004,974
0.067805603,2004,874
0.07454894,2004,659
0.067795753,2004,810
0.080963533,2004,720
0.068718936,2004,1058
0.029503879,2004,1059
0.120663471,2004,1020
0.011421442,2004,865
0.083828819,2004,979
0.098467563,2004,994
0.029655385,2004,992
0.056351262,2004,993
0.004241648,2004,994
0.064371588,2004,719
0.03417663,2004,1024
0.000673533,2004,932
0.029227283,2004,897
0.000602181,2004,593
0.017851809,2004,888
0.075346781,2004,939
0.000868538,2004,844
0.06474285,2004,883
0.072595292,2004,905
0.005514629,2004,664
2.61E-06,2004,1053
0.071463869,2004,994
0.039656802,2004,977
0.000613197,2004,636
0.028894145,2004,743
0.030338744,2004,815
0.008441052,2004,729
0.043538738,2004,936
0.011253562,2004,948
0.026678764,2004,909
0.038399493,2004,1037
0.014986868,2004,830
0.036280014,2004,885
0.041507718,2004,717
0.031812303,2004,877
0.001394955,2004,590
0.007485036,2004,900
0.029632684,2004,901
0.012012648,2004,902
0.002156045,2004,1047
0.037164738,2004,876
0.030868911,2004,858
0.006817635,2004,651
0.021483235,2004,1071
0.007374496,2004,634
0.008627746,2004,896
0.013655646,2004,912
0.020467473,2004,706
0.000101238,2004,949
0.01543683,2004,818
0.01841719,2004,721
0.008943575,2004,864
0.012846414,2004,988
0.0037696,2004,910
0.001162429,2004,920
0.0069245,2004,958
0.000925354,2004,746
0.000839935,2004,1047
0.032493529,2004,802
0.002267912,2004,782
0.001084699,2004,935
2.51E-06,2004,936
0.003780136,2004,815
0.001672696,2004,600
0.014914722,2004,979
0.014027,2004,836
0.000749729,2004,611
0.0272858,2004,933
0.003736834,2004,934
0.01929401,2004,707
0.010629578,2004,707
0.013769483,2004,993
0.009902228,2004,1044
0.000494728,2004,992
0.016588201,2004,653
0.024779156,2004,731
0.02314055,2004,866
0.006560077,2004,867
0.031229326,2004,819
0.013585575,2004,790
0.002282218,2004,993
0.027197702,2004,707
0.002464197,2004,1077
0.000825665,2004,828
0.02139852,2004,989
0.013919522,2004,709
0.000399328,2004,661
0.018450232,2004,650
0.00677185,2004,829
0.024589099,2004,594
0.017777357,2004,802
0.021475744,2004,917
0.007238944,2004,656
0.006425722,2004,777
0.001546361,2004,942
0.015922025,2004,975
0.023489545,2004,705
0.010822596,2004,1030
0.002067631,2004,644
0.021419914,2004,1037
0.00042525,2004,1076
0.004812503,2004,714
0.007498335,2004,708
0.01983795,2004,671
0.028530907,2004,1043
0.861850813,2004,669
0.0393069,2004,876
0.066942859,2004,879
0.112185382,2004,876
0.378140584,2004,877
0.013544041,2004,1080
0.246446272,2004,770
0.251122158,2004,996
0.15895631,2004,878
0.233120781,2004,673
0.023332531,2004,919
0.018673043,2004,1006
0.008118172,2004,1046
0.000224841,2004,836
7.50E-05,2004,881
0.001229517,2004,960
0.010953526,2004,632
0.000560795,2004,961
0.012314315,2004,691
0.000178724,2004,1046
0.006743048,2004,1055
0.000656956,2004,868
0.01394897,2004,944
0.006436542,2004,979
0.01230947,2004,686
0.549260109,2004,1113
0.114122142,2004,1115
0.331217062,2004,1220
0.010441304,2004,1546
0.206943919,2004,1253
0.091492743,2004,1252
