distMark,water,crop,urban,year
0,9.999974051,0.000000000,43.249811783,2017
1,9.499957488,0.000000000,37.249852774,2017
2,9.999974051,0.000000000,36.499814772,2017
3,9.999974051,0.000000000,35.499929505,2017
4,10.999974123,0.000000000,35.499912941,2017
5,10.999974203,0.000000000,36.499815838,2017
6,10.500031395,0.000000000,38.749906396,2017
7,10.250007385,0.000000000,40.749809297,2017
8,9.249972243,0.000000000,42.499939327,2017
9,8.500005211,0.000000000,41.750011580,2017
10,8.750005082,0.000000000,40.499976380,2017
11,8.750021731,0.000000000,38.499950040,2017
12,9.250005027,0.000000000,34.749935673,2017
13,9.500005062,0.000000000,31.250029234,2017
14,10.250021633,0.000000000,27.750032029,2017
15,10.250005041,0.000000000,25.750067870,2017
16,10.500005107,0.000000000,23.500015466,2017
17,11.000021506,0.000000000,22.000038729,2017
18,11.250005033,0.000000000,21.750238246,2017
19,11.749993548,0.000000000,20.500385770,2017
20,12.000005094,0.000000000,17.001168284,2017
21,11.750033292,0.250000000,14.750112241,2017
22,12.250033151,0.250000000,14.750160940,2017
23,12.250033185,0.750000000,15.250108988,2017
24,12.250044743,1.000000002,16.250108785,2017
25,12.500028078,1.000000005,16.250108785,2017
26,12.000028001,1.750000005,16.250108785,2017
27,12.250011312,5.000043515,16.250108785,2017
28,12.000027793,7.750060234,16.250108785,2017
29,12.000011121,11.999988727,16.000108785,2017
30,12.500016334,15.749982155,15.750108784,2017
31,12.250016506,21.250050713,15.500108834,2017
32,12.250011206,26.250059924,13.000039895,2017
33,12.000004819,31.249967067,10.999987732,2017
34,12.499988355,34.749989226,8.499987672,2017
35,14.999850285,37.249957065,5.999987637,2017
36,17.250049760,35.749958369,4.249988486,2017
37,17.500050311,31.750003271,4.749924752,2017
38,17.250092005,27.000026805,7.249946790,2017
39,16.750091975,23.500139028,10.250045619,2017
40,15.750091951,19.250167056,12.250097372,2017
41,15.000080454,19.500175775,13.500097377,2017
42,15.000080382,25.749939006,13.500097377,2017
43,15.250080348,30.499745306,13.500097377,2017
44,17.000102374,36.749741585,13.500097377,2017
45,18.250019600,44.499952675,13.500097377,2017
46,18.250019470,55.499991009,13.250074394,2017
47,18.250019613,67.000220485,10.000102323,2017
48,15.249962728,75.750352253,6.750097355,2017
49,12.500031283,79.750129381,4.750056782,2017
50,12.500042907,84.001254824,3.500027897,2017
51,12.500076448,87.000598115,3.750028027,2017
52,13.000076451,86.250059070,4.500016489,2017
53,13.750009493,84.749817489,5.250016522,2017
54,14.750025194,81.749595972,6.500000034,2017
55,15.499973400,79.999875984,6.499961359,2017
56,14.499978235,78.749767833,7.749927931,2017
57,13.249978172,76.500064508,7.999944661,2017
58,13.749966778,75.499827857,6.999872969,2017
59,13.499978310,75.749681196,4.999872888,2017
60,15.000090808,73.249253165,2.749955096,2017
61,15.500195124,73.249577827,1.499971841,2017
62,17.000491613,68.499697297,1.499971841,2017
63,18.750445827,65.249816678,1.499971841,2017
64,20.500319859,61.749815332,1.499971841,2017
65,21.000274647,57.750034272,1.499971841,2017
66,21.000296975,54.000574350,1.499971841,2017
67,20.750347018,56.500767454,1.499971841,2017
68,20.000363271,59.000577029,1.499971841,2017
69,20.000385900,64.000015610,0.749983208,2017
70,19.750347026,68.249852120,0.500000015,2017
71,19.500414141,75.251152012,0.500000015,2017
72,20.750358511,79.999620115,0.500000015,2017
73,22.750380804,84.249994350,0.500000015,2017
74,24.750551253,84.249524668,0.500000015,2017
75,25.000276822,83.749905409,0.500000015,2017
76,25.000197755,84.249303341,1.000000015,2017
77,24.250052690,83.749358702,1.999972784,2017
78,23.499634710,83.999348260,2.499939811,2017
79,22.749573124,82.249896736,2.749670373,2017
80,22.499511955,79.999552942,2.999670483,2017
81,22.249523612,79.249905496,3.249670484,2017
82,23.249503587,79.250257965,3.499670485,2017
83,23.499446678,78.250635652,4.749670622,2017
84,23.749386257,76.750041593,6.749709144,2017
85,24.249397920,72.000076955,7.749693545,2017
86,23.999380252,69.750000996,9.249693554,2017
87,22.749284284,69.500056054,11.499665334,2017
88,21.749546240,69.750312659,14.499615252,2017
89,20.499769883,66.000521010,16.999682091,2017
90,19.500073589,64.000484456,20.499623168,2017
91,18.500038032,62.001084934,22.499539775,2017
92,17.250153859,57.501044777,21.999539842,2017
93,16.000159816,52.750934099,21.999539845,2017
94,15.500209018,50.750603100,22.249539851,2017
95,14.500219578,48.250877904,22.249539851,2017
96,15.750214541,49.250678018,22.249539852,2017
97,16.750329093,53.250925100,21.999540280,2017
98,16.500398165,59.750324260,21.999540025,2017
99,16.750302011,66.000192790,19.999613016,2017
100,16.250357336,72.999821302,16.499394735,2017
101,15.749775657,78.750532674,13.249778892,2017
102,15.249925299,82.750886382,11.750019633,2017
103,15.000040248,88.500672423,9.250095102,2017
104,15.250109437,91.000248421,7.250106613,2017
105,16.000138177,95.500108665,6.750106612,2017
106,15.750017041,101.250165909,6.500106606,2017
107,14.999921480,105.000103109,6.000106601,2017
108,14.750004985,109.750957595,5.750106601,2017
109,15.250005198,111.750876470,5.250100226,2017
110,14.499948118,117.250576924,3.250028247,2017
111,14.999959561,118.249430356,1.750028243,2017
112,15.500032477,119.499925016,1.750028243,2017
113,15.250038651,120.750385097,1.750028243,2017
114,15.000010554,119.000832918,1.750028243,2017
115,15.250038752,117.749376322,0.750016719,2017
116,15.000038927,116.499834369,0.000000000,2017
117,15.250050425,116.500542262,0.000000000,2017
118,14.750050539,111.499277404,0.000000000,2017
119,14.500050527,110.249837222,0.000000000,2017
120,14.250078736,109.750635548,0.000000000,2017
121,13.750050424,107.750665908,0.500000001,2017
122,13.749965049,105.749435210,0.500000001,2017
123,13.249867340,105.500269288,0.500000001,2017
124,13.499690547,103.750022423,0.500000001,2017
125,12.499672902,104.750963162,0.500000001,2017
126,11.749638971,102.750456206,0.500000001,2017
127,11.499713762,101.500526089,0.500000001,2017
128,10.999633946,99.500176143,0.500000001,2017
129,10.999605302,96.250055956,1.000000003,2017
130,10.499610659,91.250561381,1.000000003,2017
131,10.749639286,87.499952331,1.500000003,2017
132,11.499507486,81.499525332,2.249994723,2017
133,11.999444045,77.999908967,2.999994781,2017
134,12.749593153,74.499615326,3.249994695,2017
135,13.749701748,71.500136169,2.999994694,2017
136,14.499793407,67.500185104,3.499994695,2017
137,15.249788056,65.250830104,5.499994649,2017
138,16.249771286,64.250736729,10.499915748,2017
139,17.499656168,61.251218823,15.499807448,2017
140,18.999369646,58.000993024,21.249772504,2017
141,20.749581728,53.750523358,26.999796305,2017
142,21.999650187,47.750789790,35.000533752,2017
143,22.249530476,40.750795170,43.999602805,2017
144,22.749713719,36.750195898,51.749771689,2017
145,22.499794065,32.250505182,57.249728013,2017
146,20.999708251,29.250640640,62.999932997,2017
147,20.749793817,29.500448790,65.999875679,2017
148,20.249828389,28.750203714,67.249597064,2017
149,20.249872644,27.500047205,69.749717762,2017
150,21.999701006,27.750132493,69.749663650,2017
151,22.249931486,28.000081958,67.499800507,2017
152,23.000102611,27.749921371,67.500137855,2017
153,22.999988690,26.999871231,68.750114007,2017
154,21.999954006,25.499752565,64.750509646,2017
155,19.750078251,27.999911608,59.000124600,2017
156,18.250357190,31.749729138,51.750193046,2017
157,17.500529326,40.249337429,45.500273183,2017
158,18.000540282,49.249483327,35.750199930,2017
159,17.501136793,60.749366987,27.000171475,2017
160,17.505029049,72.499470127,18.750360718,2017
161,17.754934211,79.749786622,13.750068720,2017
162,18.004961985,87.249390279,8.500000313,2017
163,17.505006311,93.000379977,5.749998635,2017
164,18.255011492,98.249982027,3.999903966,2017
165,18.754937749,97.250333291,2.749904045,2017
166,19.254950389,102.750233921,2.249904044,2017
167,19.503638381,105.500448971,2.249904044,2017
